球员姓名,位置,身高,体重,年龄,球龄,上场次数,场均时间,进攻能力,防守能力,是否入选过全明星,球员薪金
伊恩-克拉克,得分后卫,1.91,79,26,3,77,14.75,8.009,1,否,158
贾斯汀-安德森,大前锋,1.98,103,23,1,75,16.35,7.97,2,否,158
威利-里德,中锋,2.11,111,27,2,71,14.52,6.636,2,否,158
德安德烈-利金斯,小前锋,1.98,95,29,3,62,12.52,3.321,1,否,158
杰夫-维西,中锋,2.13,105,27,3,51,8.47,3.997,1,否,158
罗伯特-考文顿,大前锋,2.06,102,26,3,67,31.65,15.422,7,否,157
德安德鲁-本布里,大前锋,1.98,95,23,0,38,9.75,3.423,1,否,157
贾森-特里,得分后卫,1.88,84,40,17,74,18.43,5.474,1,否,155
布兰登-巴斯,中锋,2.03,113,32,11,52,11.08,6.024,1,否,155
詹姆斯-琼斯,小前锋,2.03,99,36,13,48,7.92,3.042,0,否,155
杰弗瑞-洛文吉,中锋,2.11,100,26,2,70,14,7.36,2,否,152
格伦-罗宾逊三世,小前锋,1.98,101,23,2,69,20.67,6.751,2,否,152
鲍比-波蒂斯,中锋,2.11,113,22,1,64,15.62,8.377,3,否,152
斯宾瑟·丁维迪,控球后卫,1.98,91,24,2,59,22.6,10.456,2,否,152
泰勒-恩尼斯,控球后卫,1.91,88,23,2,53,11.08,5.923,0,否,152
鲍比-布朗,得分后卫,1.88,79,33,2,25,4.88,3.04,0,否,152
大卫-李,中锋,2.06,111,34,11,79,18.68,9.847,3,否,150
昆西-阿西,大前锋,2.01,109,26,4,38,14.67,6.314,2,否,150
马拉奇-理查德森,得分后卫,1.98,93,21,0,22,9,4.09,0,否,150
ＴＪ－麦康奈尔,控球后卫,1.88,86,25,1,81,26.33,13.453,3,否,147
诺曼-鲍威尔,小前锋,1.93,98,24,1,76,17.98,9.449,1,否,147
约瑟夫-杨,得分后卫,1.88,82,25,1,74,30.22,13.649,5,否,147
萨拉赫-梅杰里,中锋,2.18,107,31,1,73,12.38,4.112,2,否,147
里乔恩-霍姆斯,中锋,2.08,111,23,1,57,20.92,11.828,3,否,147
约什-理查德森,大前锋,1.98,91,24,1,53,30.45,12.793,3,否,147
帕特-康诺顿,小前锋,1.96,95,24,1,39,8.1,3.228,1,否,147
洛-威廉姆斯,得分后卫,1.85,79,30,11,30,18.55,7.003,1,否,147
特罗伊-威廉姆斯,小前锋,2.01,98,22,0,30,18.55,7.003,1,否,147
乔丹-米基,大前锋,2.03,107,23,1,25,5.63,1.8,0,否,147
雷蒙-塞申斯,得分后卫,1.91,86,31,9,50,16.2,8.82,1,否,146
马利斯-斯佩茨,中锋,2.08,116,30,8,82,15.67,10.475,3,否,145
吉列尔莫-埃尔南戈麦斯,中锋,2.11,109,23,0,72,18.38,11.483,4,否,144
尼古拉-约基奇,中锋,2.11,115,22,1,73,27.9,23.648,6,否,142
杰拉德-格林,小前锋,2.01,93,31,9,47,11.43,6.272,1,否,141
泰厄斯-琼斯,控球后卫,1.88,88,21,1,60,12.9,6.08,0,否,140
蒂莫西-鲁瓦乌,小前锋,1.98,93,22,0,69,17.23,7.537,1,否,139
贾雷尔-马丁,中锋,2.08,108,23,1,42,13.28,5.12,2,否,134
布莱斯-约翰逊,大前锋,2.08,104,23,0,68,11.9,3.078,2,否,133
泰-劳森,控球后卫,1.8,88,29,7,69,25.1,14.711,2,否,132
凯-费尔德,控球后卫,1.75,80,22,0,42,9.18,5.331,0,否,132
马库斯-索顿,小前锋,1.93,93,30,7,33,17.4,7.882,1,否,132
阿兰-安德森,小前锋,1.98,100,34,7,30,10.27,3.237,0,否,132
安德鲁-哈里森,得分后卫,1.98,97,22,0,72,20.47,8.65,1,否,131
尼古拉斯-布鲁斯诺,小前锋,2.01,88,24,0,54,9.65,3.65,1,否,131
Yogi Ferrell,控球后卫,1.83,82,24,0,46,26.02,13.779,1,否,131
保罗-吉普瑟,大前锋,2.03,95,23,0,44,19.17,6.268,2,否,131
弗雷德-万维利特,控球后卫,1.83,84,23,0,37,7.93,3.836,1,否,131
迪杨塔-戴维斯,大前锋,2.11,108,20,0,36,6.6,1.666,1,否,131
Bryn Forbes,控球后卫,1.91,86,24,0,36,7.9,3.277,0,否,131
Okaro White,大前锋,2.03,93,25,0,35,13.45,3.4,1,否,131
小德里克-琼斯,大前锋,2.01,86,20,0,32,17.03,6.625,1,否,131
谢尔登-麦克莱伦,得分后卫,1.96,91,24,0,30,9.55,3.5,1,否,131
小拉里-南斯,大前锋,2.06,104,24,1,63,22.88,9.654,4,否,126
帕斯卡尔-西亚卡姆,大前锋,2.06,104,23,0,55,15.62,5.469,2,否,125
朗戴-霍林斯-杰弗森,大前锋,2.01,97,22,1,78,22.57,11.624,5,否,124
斯卡尔-拉比西耶利,中锋,2.11,102,21,0,33,18.53,10.578,3,否,124
凯文-卢尼,大前锋,2.06,100,21,1,53,8.43,3.097,1,否,123
迪昂特-穆雷,控球后卫,1.96,77,21,0,38,8.45,4.683,0,否,123
托马斯-罗宾逊,中锋,2.08,113,26,4,48,11.67,6.666,2,否,120
伊塞亚-怀特赫德,得分后卫,1.93,97,22,0,73,22.5,10.07,2,否,112
蒙特雷兹-哈雷尔,中锋,2.03,109,23,1,58,18.33,11.193,2,否,110
艾维卡-祖巴克,中锋,2.16,120,20,0,38,16,9.259,3,否,108
杰拉米-格兰特,大前锋,2.03,100,23,2,80,19.13,6.035,2,否,105
特伦斯-琼斯,大前锋,2.06,114,25,4,54,23.53,12.903,5,否,105
乔-哈里斯,得分后卫,1.98,99,26,2,52,21.88,9.268,2,否,105
布莱恩-罗伯茨,得分后卫,1.85,78,31,4,41,10.15,4.728,0,否,105
安东尼-本内特,大前锋,2.03,107,24,3,23,11.48,6.522,2,否,105
劳尔-内托,控球后卫,1.85,84,25,1,40,8.63,3.35,0,否,101
塞马尔-克里斯顿,控球后卫,1.91,86,24,0,64,15.18,4.891,1,否,100
霍利斯-汤普森,小前锋,2.03,100,26,3,40,18.8,5.995,2,否,100
伊赛亚-凯南,控球后卫,1.83,91,26,3,39,15.17,5.589,1,否,100
拉基姆-克里斯马斯,大前锋,2.06,113,25,1,29,7.55,2.168,1,否,100
马塞洛－胡尔塔斯,控球后卫,1.91,91,34,1,23,10.28,5.001,0,否,100
肖恩－基尔帕特里克,得分后卫,1.93,96,27,2,70,25.05,15.373,3,否,98
德扬-芬尼-史密斯,大前锋,2.03,100,24,0,81,20.27,5.147,2,否,91
帕特里克-麦考,小前锋,2.01,84,21,0,71,15.12,5.055,1,否,91
泰勒-尤利斯,控球后卫,1.78,73,21,0,61,18.4,10.985,1,否,91
杰克-雷曼,大前锋,2.06,95,23,0,35,7.1,2.544,0,否,91
马尔科姆-布罗格顿,得分后卫,1.96,98,24,0,75,26.42,14.457,3,否,90
戴维斯-伯坦斯,大前锋,2.08,102,24,0,67,12.05,5.207,1,否,80
马绍尔-普拉姆利,中锋,2.13,113,25,0,21,8.1,3.376,1,否,80
A.J. 哈蒙斯,中锋,2.13,113,25,0,22,7.42,2.362,1,否,70
罗德尼-麦克格兰德,得分后卫,1.96,91,26,0,78,25.2,8.96,2,否,54
乔丹－麦克雷,得分后卫,1.98,84,26,1,37,10.35,4.864,0,否,50
德隆-威廉姆斯,控球后卫,1.91,91,33,11,50,16.08,6.64,2,是,40
詹姆斯-迈克尔-麦卡杜,大前锋,2.06,104,24,2,52,8.78,3.176,1,否,7
达伦-希利亚德,得分后卫,1.98,93,24,1,39,9.77,4.106,0,否,7
CJ-威尔考克斯,得分后卫,1.96,88,26,2,22,4.88,1.495,0,否,7
