球员姓名,位置,身高,体重,年龄,球龄,上场次数,场均时间,进攻能力,防守能力,是否入选过全明星,球员薪金
梅森-普拉姆利,中锋,2.11,116,27,3,81,26.5,15.906,6,否,1404
泰-吉普森,中锋,2.06,111,32,7,78,25.48,13.786,4,否,1400
罗宾-洛佩兹,中锋,2.13,120,29,8,81,28.03,14.348,4,否,1379
JR-史密斯,小前锋,1.98,102,32,12,41,28.95,10.072,2,否,1376
詹姆斯-约翰逊,大前锋,2.03,113,30,7,76,27.43,16.462,6,否,1373
布兰登-奈特,得分后卫,1.91,88,25,5,54,21.07,13.427,1,否,1362
马文-威廉姆斯,大前锋,2.06,108,31,11,76,30.2,13.565,5,否,1317
迈克尔-基德-吉尔克里斯特,大前锋,2.01,105,24,4,81,28.98,11.577,6,否,1300
泰森-钱德勒,中锋,2.16,109,35,15,47,27.6,12.088,8,是,1300
埃里克-戈登,得分后卫,1.93,98,28,8,75,30.97,18.737,2,否,1294
赛迪斯-杨,大前锋,2.03,100,29,9,74,30.22,13.649,5,否,1292
科内斯-法瑞德,中锋,2.03,103,27,5,61,21.23,13.522,4,否,1292
马辛-戈塔特,中锋,2.11,109,33,9,82,31.15,14.246,7,否,1278
科迪-泽勒,中锋,2.13,109,24,3,62,27.82,13.907,5,否,1258
尼科拉-米罗蒂奇,大前锋,2.08,109,26,2,70,23.98,11.701,4,否,1250
迈尔斯-普拉姆利,中锋,2.11,113,29,4,45,10.77,2.977,1,否,1250
尼科拉-武切维奇,中锋,2.13,118,26,5,75,28.83,19.383,9,否,1225
威尔森-钱德勒,大前锋,2.03,102,30,8,71,30.93,18.716,5,否,1202
肯巴-沃克,控球后卫,1.85,83,27,5,79,34.67,28.654,4,是,1200
林书豪,得分后卫,1.91,91,29,6,36,24.52,19.641,4,否,1200
所罗门-希尔,小前锋,2.01,102,26,3,80,29.67,8.802,3,否,1175
考特尼-李,小前锋,1.96,91,32,8,77,31.93,13.165,3,否,1175
德里克-费沃斯,中锋,2.08,120,26,6,50,23.7,11.64,4,否,1175
扎克-兰多夫,中锋,2.06,118,36,15,73,24.47,17.751,5,是,1169
奥斯汀-里弗斯,得分后卫,1.93,91,25,4,74,27.75,14.767,1,否,1167
乔丹-克拉克森,得分后卫,1.96,88,25,2,82,29.22,17.298,3,否,1156
约翰-亨森,中锋,2.11,104,26,4,58,19.35,8.743,4,否,1142
帕蒂-米尔斯,控球后卫,1.83,82,29,7,80,21.92,12.978,1,否,1116
阿米尔-约翰逊,中锋,2.06,113,30,11,80,20.1,9.25,3,否,1100
乔-约翰逊,小前锋,2.01,109,36,15,78,23.62,11.016,2,是,1100
蒙塔-艾利斯,得分后卫,1.91,84,31,11,74,26.98,11.699,3,否,1100
迪昂-威特斯,小前锋,1.93,98,25,4,46,30.08,20.198,2,否,1100
阿列克-伯克斯,得分后卫,1.98,97,26,5,42,15.53,7.454,2,否,1085
凯利-奥利尼克,中锋,2.13,108,26,3,75,20.5,11.013,3,否,1061
欧米尔-阿西克,中锋,2.13,116,31,6,31,15.55,4.224,3,否,1060
博扬-波格丹诺维奇,小前锋,2.03,102,28,2,81,25.7,15.11,2,否,1050
特伦斯-罗斯,小前锋,2.01,93,26,4,78,25.05,12.128,3,否,1050
琼-洛伊尔,中锋,2.08,103,28,5,75,25.92,12.71,4,否,1050
艾曼-舒伯特,小前锋,1.96,100,27,5,76,25.48,8.894,2,否,1034
达伦-科里森,得分后卫,1.83,79,30,7,68,30.33,17.828,1,否,1000
丹尼-格林,小前锋,1.98,95,30,7,68,26.57,9.134,3,否,1000
艾尔-杰弗森,中锋,2.08,131,32,12,66,14.1,9.974,3,否,1000
贾里德-杜德利,大前锋,2.01,107,32,9,64,21.28,8.671,3,否,1000
梅耶斯-莱纳德,中锋,2.16,116,25,4,74,16.5,6.379,2,否,990
托尼-斯内尔,小前锋,2.01,102,25,3,80,29.18,9.74,2,否,982
莫里斯-哈克利斯,大前锋,2.06,100,24,4,77,28.87,12.183,3,否,966
马修-德拉维多瓦,得分后卫,1.93,90,27,3,76,26.12,12.287,1,否,950
特雷沃-布克,大前锋,2.03,103,29,6,71,24.7,13.934,7,否,945
安德烈-罗伯森,小前锋,2.01,95,25,3,79,30.07,8.61,5,否,926
鲍里斯-迪奥,中锋,2.03,113,35,13,73,17.57,6.959,1,否,900
杰拉德-亨德森,小前锋,1.96,98,29,7,72,23.15,10.746,2,否,900
德怀特-鲍威尔,中锋,2.11,109,26,2,77,17.32,8.336,2,否,894
艾弗里-布拉德利,得分后卫,1.88,82,26,6,55,33.35,19.468,5,否,881
杰迈克尔-格林,大前锋,2.06,103,27,2,77,27.28,12.041,4,否,853
伊托万-摩尔,得分后卫,1.93,87,28,5,73,24.92,11.837,1,否,845
鲁迪-盖伊,大前锋,2.03,104,31,10,30,33.75,22.497,6,否,841
科斯塔-库弗斯,中锋,2.13,120,28,8,71,19.98,8.282,4,否,839
马基夫-莫里斯,大前锋,2.08,111,28,5,76,31.23,16.648,6,否,800
文斯-卡特,小前锋,1.98,100,40,18,73,24.65,9.852,2,否,800
塞尔吉奥-罗德里格兹,控球后卫,1.91,79,31,4,68,22.3,12.849,2,否,800
加瑞特-坦普尔,得分后卫,1.98,88,31,6,65,26.58,10.365,3,否,800
慈世平,大前锋,2.01,113,37,16,25,6.4,2.72,0,否,800
CJ-迈尔斯,小前锋,1.98,102,30,11,76,23.37,11.352,2,否,794
克里斯蒂亚诺-费利西奥,中锋,2.06,121,25,1,66,15.75,6.396,2,否,784
肖恩-利文斯顿,得分后卫,2.01,87,32,11,76,17.68,6.949,1,否,769
达雷尔-亚瑟,中锋,2.06,107,29,7,41,15.57,7.414,2,否,767
科里-约瑟夫,控球后卫,1.91,88,26,5,80,25.03,12.562,2,否,763
PJ-塔克,小前锋,1.98,111,32,5,81,27.6,8.892,5,否,759
科里-布鲁尔,小前锋,2.06,84,31,9,82,15.62,5.703,1,否,758
安德鲁-威金斯,小前锋,2.03,90,22,2,82,37.17,26.875,3,否,757
特雷沃-阿里扎,小前锋,2.03,98,32,12,80,34.65,13.888,6,否,742
钱宁-弗莱,中锋,2.11,116,34,10,74,18.88,9.748,3,否,742
科尔-阿尔德里奇,中锋,2.11,113,28,6,62,8.55,2.093,1,否,733
艾尔-法鲁克-阿米努,大前锋,2.06,100,27,6,61,29.05,11.343,7,否,732
DJ-奥古斯汀,控球后卫,1.83,83,29,8,78,19.72,10.579,1,否,725
凯尔-科沃尔,小前锋,2.01,96,36,13,67,26.15,11.762,2,否,700
杰里米-兰姆,小前锋,1.96,84,25,4,62,18.42,10.924,3,否,700
罗尼-斯塔基,得分后卫,1.96,95,31,9,39,17.85,9.364,2,否,700
博班-马扬诺维奇,中锋,2.21,132,29,1,35,8.37,6.717,2,否,700
杰-克劳德,大前锋,1.98,107,27,4,72,32.38,16.033,6,否,680
贾巴里-帕克,大前锋,2.03,113,22,2,51,33.87,23.884,4,否,678
兰斯-托马斯,小前锋,2.03,107,29,5,46,21.03,6.741,2,否,666
马科-贝里内利,小前锋,1.96,95,31,9,74,24.02,12.526,2,否,661
安德鲁-尼克尔森,大前锋,2.06,113,27,4,38,8.98,2.893,1,否,650
艾德-戴维斯,中锋,2.08,111,28,6,46,17.15,6.915,3,否,635
乔纳森-西蒙斯,小前锋,1.98,88,28,1,78,17.85,7.805,1,否,630
维恩-艾灵顿,小前锋,1.96,94,29,7,62,24.18,11.579,1,否,627
以赛亚-托马斯,控球后卫,1.75,84,28,5,76,33.78,34.825,2,是,626
卡尔-安东尼-唐斯,中锋,2.13,111,21,1,82,36.95,30.813,9,否,622
乔尔-恩比德,中锋,2.13,113,23,0,31,25.35,23.359,7,否,610
约什-麦克罗伯茨,中锋,2.08,104,30,9,22,17.32,8.133,2,否,602
伊斯梅尔-史密斯,控球后卫,1.83,79,29,6,81,24.13,14.52,2,否,600
艾利克斯-伦,中锋,2.16,118,24,3,77,20.25,10.531,5,否,600
德维恩-戴德蒙,中锋,2.13,111,28,3,76,17.48,6.669,4,否,600
马特-巴恩斯,小前锋,2.01,103,37,13,74,23.98,9.755,4,否,600
谢尔文-马克,控球后卫,1.91,93,27,5,55,21.9,10.62,1,否,600
斯宾塞-霍伊斯,中锋,2.16,111,29,9,54,14.75,7.74,2,否,600
阿兰-威廉姆斯,中锋,2.03,118,24,1,47,15.05,9.849,4,否,600
布兰登-赖特,中锋,2.08,107,29,8,28,15.95,8.286,1,否,596
韦斯利-约翰逊,小前锋,2.01,98,30,6,68,11.9,3.078,2,否,588
阿列克斯-阿布尼斯,得分后卫,1.98,86,24,0,68,15.52,6.558,1,否,573
泰勒-约翰逊,得分后卫,1.93,86,25,2,76,27.43,16.462,6,否,563
丹吉洛-拉塞尔,得分后卫,1.96,88,21,1,63,28.73,20.43,4,否,556
布兰登-英格拉姆,小前锋,2.06,86,20,0,79,28.85,11.471,3,否,552
帕特里克-贝弗利,得分后卫,1.85,84,29,4,67,30.7,14.734,5,否,551
阿隆-戈登,大前锋,2.06,100,22,2,80,28.72,15.615,3,否,550
萨博-塞弗洛萨,小前锋,2.01,100,33,10,62,25.73,8.886,4,否,525
贾森-史密斯,中锋,2.13,109,31,8,74,14.42,6.18,2,否,523
本-麦克勒摩,得分后卫,1.96,88,24,3,61,19.27,8.946,1,否,520
帕特里克-帕特森,中锋,2.06,104,28,6,65,24.58,8.019,3,否,519
尼克-杨,小前锋,2.01,95,32,9,60,25.93,14.147,1,否,519
布兰登-詹宁斯,控球后卫,1.85,77,28,7,81,22.23,11.997,2,否,500
马库斯-莫里斯,大前锋,2.06,107,28,5,79,32.47,16.015,3,否,500
米尔扎-特雷托维奇,大前锋,2.06,110,32,4,70,16.18,7.126,2,否,500
迈克-穆斯卡拉,中锋,2.11,109,26,3,70,17.67,8.567,2,否,500
德里克-威廉姆斯,大前锋,2.03,111,26,5,64,25.88,16.575,2,否,500
CJ-沃特森,控球后卫,1.88,79,33,9,62,16.32,6.369,1,否,500
德克-诺维茨基,中锋,2.13,111,39,18,54,26.37,15.759,6,否,500
迈克-邓利维,小前锋,2.06,100,37,14,53,15.87,6.133,1,否,500
贾希尔-奥卡福,中锋,2.11,120,21,1,50,22.67,13.96,3,否,500
罗伊-希伯特,中锋,2.18,122,30,8,48,14.2,6.038,2,否,500
凯尔-辛格勒,小前锋,2.03,103,29,4,32,12.03,3.031,1,否,500
丹特-艾克萨姆,得分后卫,1.98,94,22,1,66,18.6,7.907,1,否,499
杰伦-布朗,小前锋,2.01,102,20,0,78,17.22,7.421,2,否,496
阿莱克西斯-阿金萨,中锋,2.18,112,29,6,39,15.02,6.618,3,否,496
扎扎-帕楚里亚,中锋,2.11,122,33,13,70,18.12,9.976,3,否,478
马库斯-斯玛特,控球后卫,1.93,100,23,2,79,30.37,15.178,3,否,454
贾斯汀-霍勒迪,小前锋,1.98,84,28,3,82,19.98,8.914,2,否,450
克里斯塔普斯-波尔津吉斯,中锋,2.21,109,22,1,66,32.78,20.59,6,否,450
保罗-皮尔斯,大前锋,2.01,107,39,18,25,11.08,3.64,1,否,450
德拉甘-本德尔,大前锋,2.16,102,19,0,43,13.33,3.935,1,否,447
德文-哈里斯,得分后卫,1.91,84,34,12,65,16.72,8.812,1,否,440
贾马尔-克劳福德,小前锋,1.96,91,37,16,82,26.3,14.888,1,否,433
阿隆-贝恩斯,中锋,2.08,118,30,4,75,15.5,6.297,2,否,433
诺伦斯-诺尔,中锋,2.11,100,23,2,51,20.47,10.71,4,否,419
朱利叶斯-兰德尔,大前锋,2.06,113,22,2,74,28.8,18.748,6,否,415
乔纳斯-杰雷布科,大前锋,2.08,105,30,6,78,15.78,4.74,2,否,410
凯尔-奥奎因,中锋,2.06,113,27,4,79,15.55,8.761,4,否,409
马里奥-海佐尼亚,小前锋,2.03,99,22,1,65,14.77,5.834,1,否,408
克里斯-邓恩,得分后卫,1.93,93,23,0,78,17.08,6.17,2,否,405
克里斯-亨弗里斯,中锋,2.06,111,32,12,56,12.28,6.108,2,否,400
Donatas Motiejunas,中锋,2.13,101,27,4,34,14.07,5.351,2,否,400
内曼加-别利卡,大前锋,2.08,102,29,1,65,18.3,7.415,2,否,395
JJ-巴里亚,得分后卫,1.83,84,33,10,35,22.02,16.404,2,否,390
拉沃伊-阿伦,中锋,2.06,118,28,5,61,14.28,4.834,1,否,385
尼克-斯陶斯卡斯,小前锋,1.98,93,23,2,80,27.33,11.8,2,否,380
威利-考利-斯坦因,中锋,2.13,109,24,1,75,18.93,10.217,3,否,370
巴迪-希尔德,得分后卫,1.93,97,23,0,82,23.02,12.036,2,否,368
威尔-巴顿,小前锋,1.98,79,26,4,60,28.42,17.103,3,否,353
诺阿-冯莱,大前锋,2.06,111,22,2,74,17.1,5.839,3,否,351
莱昂德罗-巴博萨,得分后卫,1.91,88,34,13,67,14.4,7.459,1,否,350
布兰登-拉什,小前锋,1.98,102,32,8,47,21.9,5.147,1,否,350
朱迪-米克斯,得分后卫,1.93,95,30,7,36,20.48,10.33,2,否,350
